K1001,K1002,K1004,K1053,K1081,K1082,K1086,K1100,K1103,K1104,K1303,DMC_GearUnit ,Machine_1,Type_1,Attribute,Date/Time,Event,Batch Number,Nest Number,DMC_steering column ,Machine_2,Type_2,Attribute,
944436,ReNi  P02F_BRA_LHD_BL1N,07.01.2019 13:18:31,20190111,M2002,MA for ColPAS Nissan/Renault (CN),--,Steering,--,12.01.2019 00:05:04,TK-PCHZ,19011100756,1998,888878,0,12.01.2019/01:20:37,10,#19011200063,1,19011100759,2016,884280,0 ,
944436,ReNi  P02F_BRA_LHD_BL1N,07.01.2019 13:18:31,20190111,M2002,MA for ColPAS Nissan/Renault (CN),--,Steering,--,12.01.2019 00:05:04,TK-PCHZ,19011100770,1998,888878,0,12.01.2019/01:21:07,10,#19011200064,1,19011100760,2016,884280,0 ,
944436,ReNi  P02F_BRA_LHD_BL1N,07.01.2019 13:18:31,20190111,M2002,MA for ColPAS Nissan/Renault (CN),--,Steering,--,12.01.2019 00:05:04,TK-PCHZ,19011100687,1998,888878,0,12.01.2019/01:23:00,10,#19011200065,1,19011100765,2016,884280,0 ,
944436,ReNi  P02F_BRA_LHD_BL1N,07.01.2019 13:18:31,20190111,M2002,MA for ColPAS Nissan/Renault (CN),--,Steering,--,12.01.2019 00:05:04,TK-PCHZ,19011100731,1998,888878,0,12.01.2019/01:23:13,10,#19011200066,1,19011100695,2016,884280,0 ,
944436,ReNi  P02F_BRA_LHD_BL1N,07.01.2019 13:18:31,20190111,M2002,MA for ColPAS Nissan/Renault (CN),--,Steering,--,12.01.2019 00:05:04,TK-PCHZ,19011100727,1998,888878,0,12.01.2019/01:23:37,10,#19011200067,1,19011100691,2016,884280,0 ,
944436,ReNi  P02F_BRA_LHD_BL1N,07.01.2019 13:18:31,20190111,M2002,MA for ColPAS Nissan/Renault (CN),--,Steering,--,12.01.2019 00:05:04,TK-PCHZ,19011100766,1998,888878,0,12.01.2019/01:24:39,10,#19011200068,1,19011100757,2016,884280,0 ,
944436,ReNi  P02F_BRA_LHD_BL1N,07.01.2019 13:18:31,20190111,M2002,MA for ColPAS Nissan/Renault (CN),--,Steering,--,12.01.2019 00:05:04,TK-PCHZ,19011100737,1998,888878,0,12.01.2019/01:25:02,10,#19011200069,1,19011100767,2016,884280,0 ,
944436,ReNi  P02F_BRA_LHD_BL1N,07.01.2019 13:18:31,20190111,M2002,MA for ColPAS Nissan/Renault (CN),--,Steering,--,12.01.2019 00:05:04,TK-PCHZ,19011100810,1998,888878,0,12.01.2019/01:25:29,10,#19011200070,1,19011100766,2016,884280,0 ,
944436,ReNi  P02F_BRA_LHD_BL1N,07.01.2019 13:18:31,20190111,M2002,MA for ColPAS Nissan/Renault (CN),--,Steering,--,12.01.2019 00:05:04,TK-PCHZ,19011100740,1998,888878,0,12.01.2019/01:26:05,10,#19011200071,1,19011100728,2016,884280,0 ,
944436,ReNi  P02F_BRA_LHD_BL1N,07.01.2019 13:18:31,20190111,M2002,MA for ColPAS Nissan/Renault (CN),--,Steering,--,12.01.2019 00:05:04,TK-PCHZ,19011100751,1998,888878,0,12.01.2019/01:26:24,10,#19011200072,1,19011100756,2016,884280,0 ,
944436,ReNi  P02F_BRA_LHD_BL1N,07.01.2019 13:18:31,20190111,M2002,MA for ColPAS Nissan/Renault (CN),--,Steering,--,12.01.2019 00:05:04,TK-PCHZ,19011100752,1998,888878,0,12.01.2019/01:26:47,10,#19011200073,1,19011100722,2016,884280,0 ,
944436,ReNi  P02F_BRA_LHD_BL1N,07.01.2019 13:18:31,20190111,M2002,MA for ColPAS Nissan/Renault (CN),--,Steering,--,12.01.2019 00:05:04,TK-PCHZ,19011100782,1998,888878,0,12.01.2019/01:27:22,10,#19011200074,1,19011100742,2016,884280,0 ,
944436,ReNi  P02F_BRA_LHD_BL1N,07.01.2019 13:18:31,20190111,M2002,MA for ColPAS Nissan/Renault (CN),--,Steering,--,12.01.2019 00:05:04,TK-PCHZ,19011100739,1998,888878,0,12.01.2019/01:27:47,10,#19011200075,1,19011100676,2016,884280,0 ,
944436,ReNi  P02F_BRA_LHD_BL1N,07.01.2019 13:18:31,20190111,M2002,MA for ColPAS Nissan/Renault (CN),--,Steering,--,12.01.2019 00:05:04,TK-PCHZ,19011100825,1998,888878,0,12.01.2019/01:29:32,10,#19011200076,1,19011100658,2016,884280,0 ,
944436,ReNi  P02F_BRA_LHD_BL1N,07.01.2019 13:18:31,20190111,M2002,MA for ColPAS Nissan/Renault (CN),--,Steering,--,12.01.2019 00:05:04,TK-PCHZ,19011100588,1998,888878,0,12.01.2019/01:29:52,10,#19011200077,1,19011100679,2016,884280,0 ,
944436,ReNi  P02F_BRA_LHD_BL1N,07.01.2019 13:18:31,20190111,M2002,MA for ColPAS Nissan/Renault (CN),--,Steering,--,12.01.2019 00:05:04,TK-PCHZ,19011100563,1998,888878,0,12.01.2019/01:30:14,10,#19011200078,1,19011100660,2016,884280,0 ,
944436,ReNi  P02F_BRA_LHD_BL1N,07.01.2019 13:18:31,20190111,M2002,MA for ColPAS Nissan/Renault (CN),--,Steering,--,12.01.2019 00:05:04,TK-PCHZ,19011100759,1998,888878,0,12.01.2019/01:30:30,10,#19011200079,1,19011100748,2016,884280,0 ,
944436,ReNi  P02F_BRA_LHD_BL1N,07.01.2019 13:18:31,20190111,M2002,MA for ColPAS Nissan/Renault (CN),--,Steering,--,12.01.2019 00:05:04,TK-PCHZ,19011100616,1998,888878,0,12.01.2019/01:30:57,10,#19011200080,1,19011100654,2016,884280,0 ,
944436,ReNi  P02F_BRA_LHD_BL1N,07.01.2019 13:18:31,20190111,M2002,MA for ColPAS Nissan/Renault (CN),--,Steering,--,12.01.2019 00:05:04,TK-PCHZ,19011100781,1998,888878,0,12.01.2019/01:31:24,10,#19011200081,1,19011100744,2016,884280,0 ,
944436,ReNi  P02F_BRA_LHD_BL1N,07.01.2019 13:18:31,20190111,M2002,MA for ColPAS Nissan/Renault (CN),--,Steering,--,12.01.2019 00:05:04,TK-PCHZ,19011100818,1998,888878,0,12.01.2019/01:32:23,10,#19011200082,1,19011100743,2016,884280,0 ,
944436,ReNi  P02F_BRA_LHD_BL1N,07.01.2019 13:18:31,20190111,M2002,MA for ColPAS Nissan/Renault (CN),--,Steering,--,12.01.2019 00:05:04,TK-PCHZ,19011100592,1998,888878,0,12.01.2019/01:32:50,10,#19011200083,1,19011100648,2016,884280,0 ,
944436,ReNi  P02F_BRA_LHD_BL1N,07.01.2019 13:18:31,20190111,M2002,MA for ColPAS Nissan/Renault (CN),--,Steering,--,12.01.2019 00:05:04,TK-PCHZ,19011100591,1998,888878,0,12.01.2019/01:33:28,10,#19011200084,1,19011100653,2016,884280,0 ,
944436,ReNi  P02F_BRA_LHD_BL1N,07.01.2019 13:18:31,20190111,M2002,MA for ColPAS Nissan/Renault (CN),--,Steering,--,12.01.2019 00:05:04,TK-PCHZ,19011100744,1998,888878,0,12.01.2019/01:34:40,10,#19011200085,1,19011100734,2016,884280,0 ,
944436,ReNi  P02F_BRA_LHD_BL1N,07.01.2019 13:18:31,20190111,M2002,MA for ColPAS Nissan/Renault (CN),--,Steering,--,12.01.2019 00:05:04,TK-PCHZ,19011100798,1998,888878,0,12.01.2019/01:35:10,10,#19011200086,1,19011100773,2016,884280,0 ,
944436,ReNi  P02F_BRA_LHD_BL1N,07.01.2019 13:18:31,20190111,M2002,MA for ColPAS Nissan/Renault (CN),--,Steering,--,12.01.2019 00:05:04,TK-PCHZ,19011100799,1998,888878,0,12.01.2019/01:36:15,10,#19011200087,1,19011100775,2016,884280,0 ,
944436,ReNi  P02F_BRA_LHD_BL1N,07.01.2019 13:18:31,20190111,M2002,MA for ColPAS Nissan/Renault (CN),--,Steering,--,12.01.2019 00:05:04,TK-PCHZ,19011100780,1998,888878,0,12.01.2019/01:37:02,10,#19011200088,1,19011100755,2016,884280,0 ,
944436,ReNi  P02F_BRA_LHD_BL1N,07.01.2019 13:18:31,20190111,M2002,MA for ColPAS Nissan/Renault (CN),--,Steering,--,12.01.2019 00:05:04,TK-PCHZ,19011100815,1998,888878,0,12.01.2019/01:37:32,10,#19011200089,1,19011100770,2016,884280,0 ,
944436,ReNi  P02F_BRA_LHD_BL1N,07.01.2019 13:18:31,20190111,M2002,MA for ColPAS Nissan/Renault (CN),--,Steering,--,12.01.2019 00:05:04,TK-PCHZ,19011100800,1998,888878,0,12.01.2019/01:37:56,10,#19011200090,1,19011100771,2016,884280,0 ,
